target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_1,5,0.012203855999999999,1,5,1,0.13996366491919995,0.012203855999999999,0.0871930297555812,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_7,5,0.0092027532,3.2,5,2,0.13996366491919995,0.0214066092,0.15294404595905578,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_5,5,0.00745160986,5.2,5,3,0.13996366491919995,0.02885821906,0.2061836482822856,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_3966,5,0.006329676199999999,8,5,4,0.13996366491919995,0.03518789526,0.25140735833341976,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_2,5,0.00621282518,6.6,5,5,0.13996366491919995,0.04140072044,0.2957962015634582,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,blaOXA~~~blaOXA1,5,0.0054402271,8.6,5,6,0.13996366491919995,0.04684094754,0.3346650544413863,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_1215,5,0.00524726698,12.4,5,7,0.13996366491919995,0.052088214519999995,0.3721552629396362,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_8,5,0.00489121614,14.2,5,8,0.13996366491919995,0.05697943066,0.4071015909228572,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_4,5,0.00476899764,10.6,5,9,0.13996366491919995,0.0617484283,0.4411747029891432,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_1205,5,0.0047362763600000005,10.2,5,10,0.13996366491919995,0.06648470466,0.47501403095139844,PAN,Metal stress
A22002ugml,3,XGBoost,shap,Clusters_1,5,0.0126416496,1.2,5,1,0.05759868671400001,0.0126416496,0.21947808745658962,STR,Chemical stress
A22002ugml,3,XGBoost,shap,group_8516,5,0.00584594632,16.2,5,2,0.05759868671400001,0.018487595920000002,0.3209725251514525,PAN,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_2,5,0.00545587232,5.6,5,3,0.05759868671400001,0.02394346824,0.4156946903822422,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_6,5,0.00444646186,9.8,5,4,0.05759868671400001,0.028389930100000002,0.4928919688910114,STR,Chemical stress
A22002ugml,3,XGBoost,shap,group_8662,5,0.00439493338,23.8,5,5,0.05759868671400001,0.03278486348,0.5691946353358656,PAN,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_4,5,0.0029634489,14.8,5,6,0.05759868671400001,0.03574831238,0.6206445740248271,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_5,5,0.002695277396,35.6,5,7,0.05759868671400001,0.038443589776,0.6674386512818851,STR,Chemical stress
A22002ugml,3,XGBoost,shap,tap~~~repA~~~tapA~~~repL,5,0.00248973214,21.8,5,8,0.05759868671400001,0.040933321916,0.7106641531472747,PAN,Chemical stress
