row	column	strain	r_c
1	1	N169	1 1
1	2	N169	1 2
2	1	N169	2 1
2	2	N169	2 2
1	3	M85	1 3
1	4	M85	1 4
2	3	M85	2 3
2	4	M85	2 4
1	5	N425	1 5
1	6	N425	1 6
2	5	N425	2 5
2	6	N425	2 6
1	7	M861	1 7
1	8	M861	1 8
2	7	M861	2 7
2	8	M861	2 8
1	9	N495	1 9
1	10	N495	1 10
2	9	N495	2 9
2	10	N495	2 10
1	11	M853	1 11
1	12	M853	1 12
2	11	M853	2 11
2	12	M853	2 12
1	13	N619	1 13
1	14	N619	1 14
2	13	N619	2 13
2	14	N619	2 14
1	15	MKP103	1 15
1	16	MKP103	1 16
2	15	MKP103	2 15
2	16	MKP103	2 16
1	17	N627	1 17
1	18	N627	1 18
2	17	N627	2 17
2	18	N627	2 18
1	19	J712	1 19
1	20	J712	1 20
2	19	J712	2 19
2	20	J712	2 20
1	21	N685	1 21
1	22	N685	1 22
2	21	N685	2 21
2	22	N685	2 22
1	23	J586	1 23
1	24	J586	1 24
2	23	J586	2 23
2	24	J586	2 24
1	25	N78	1 25
1	26	N78	1 26
2	25	N78	2 25
2	26	N78	2 26
1	27	J791	1 27
1	28	J791	1 28
2	27	J791	2 27
2	28	J791	2 28
1	29	N81	1 29
1	30	N81	1 30
2	29	N81	2 29
2	30	N81	2 30
1	31	J727	1 31
1	32	J727	1 32
2	31	J727	2 31
2	32	J727	2 32
1	33	N846	1 33
1	34	N846	1 34
2	33	N846	2 33
2	34	N846	2 34
1	35	M924	1 35
1	36	M924	1 36
2	35	M924	2 35
2	36	M924	2 36
1	37	N887	1 37
1	38	N887	1 38
2	37	N887	2 37
2	38	N887	2 38
1	39	JZ79	1 39
1	40	JZ79	1 40
2	39	JZ79	2 39
2	40	JZ79	2 40
1	41	N888	1 41
1	42	N888	1 42
2	41	N888	2 41
2	42	N888	2 42
1	43	J57	1 43
1	44	J57	1 44
2	43	J57	2 43
2	44	J57	2 44
1	45	N895	1 45
1	46	N895	1 46
2	45	N895	2 45
2	46	N895	2 46
1	47	J54	1 47
1	48	J54	1 48
2	47	J54	2 47
2	48	J54	2 48
3	1	RKPB188	3 1
3	2	RKPB188	3 2
4	1	RKPB188	4 1
4	2	RKPB188	4 2
3	3	RKPR132	3 3
3	4	RKPR132	3 4
4	3	RKPR132	4 3
4	4	RKPR132	4 4
3	5	RKPB189	3 5
3	6	RKPB189	3 6
4	5	RKPB189	4 5
4	6	RKPB189	4 6
3	7	RKPB456	3 7
3	8	RKPB456	3 8
4	7	RKPB456	4 7
4	8	RKPB456	4 8
3	9	RKPB170	3 9
3	10	RKPB170	3 10
4	9	RKPB170	4 9
4	10	RKPB170	4 10
3	11	RKPB457	3 11
3	12	RKPB457	3 12
4	11	RKPB457	4 11
4	12	RKPB457	4 12
3	13	RKPB566	3 13
3	14	RKPB566	3 14
4	13	RKPB566	4 13
4	14	RKPB566	4 14
3	15	RKPB458	3 15
3	16	RKPB458	3 16
4	15	RKPB458	4 15
4	16	RKPB458	4 16
3	17	RKPB172	3 17
3	18	RKPB172	3 18
4	17	RKPB172	4 17
4	18	RKPB172	4 18
3	19	RKPB459	3 19
3	20	RKPB459	3 20
4	19	RKPB459	4 19
4	20	RKPB459	4 20
3	21	RKPB173	3 21
3	22	RKPB173	3 22
4	21	RKPB173	4 21
4	22	RKPB173	4 22
3	23	RKPB460	3 23
3	24	RKPB460	3 24
4	23	RKPB460	4 23
4	24	RKPB460	4 24
3	25	RKPB174	3 25
3	26	RKPB174	3 26
4	25	RKPB174	4 25
4	26	RKPB174	4 26
3	27	RKPB461	3 27
3	28	RKPB461	3 28
4	27	RKPB461	4 27
4	28	RKPB461	4 28
3	29	RKPB176	3 29
3	30	RKPB176	3 30
4	29	RKPB176	4 29
4	30	RKPB176	4 30
3	31	RKPB442	3 31
3	32	RKPB442	3 32
4	31	RKPB442	4 31
4	32	RKPB442	4 32
3	33	RKPB177	3 33
3	34	RKPB177	3 34
4	33	RKPB177	4 33
4	34	RKPB177	4 34
3	35	RKPB443	3 35
3	36	RKPB443	3 36
4	35	RKPB443	4 35
4	36	RKPB443	4 36
3	37	RKPB178	3 37
3	38	RKPB178	3 38
4	37	RKPB178	4 37
4	38	RKPB178	4 38
3	39	RKPB444	3 39
3	40	RKPB444	3 40
4	39	RKPB444	4 39
4	40	RKPB444	4 40
3	41	RKPB179	3 41
3	42	RKPB179	3 42
4	41	RKPB179	4 41
4	42	RKPB179	4 42
3	43	RKPB446	3 43
3	44	RKPB446	3 44
4	43	RKPB446	4 43
4	44	RKPB446	4 44
3	45	RKPB158	3 45
3	46	RKPB158	3 46
4	45	RKPB158	4 45
4	46	RKPB158	4 46
3	47	RKPB447	3 47
3	48	RKPB447	3 48
4	47	RKPB447	4 47
4	48	RKPB447	4 48
5	1	N977	5 1
5	2	N977	5 2
6	1	N977	6 1
6	2	N977	6 2
5	3	J461	5 3
5	4	J461	5 4
6	3	J461	6 3
6	4	J461	6 4
5	5	N982	5 5
5	6	N982	5 6
6	5	N982	6 5
6	6	N982	6 6
5	7	J248	5 7
5	8	J248	5 8
6	7	J248	6 7
6	8	J248	6 8
5	9	Q104	5 9
5	10	Q104	5 10
6	9	Q104	6 9
6	10	Q104	6 10
