target,mode,model,output_type,feature,n_total_splits,mean_abs_shap_avg,rank_avg,n_splits_present,rank_final,total_importance,cumulative_importance,cumulative_fraction,feature_type,category
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_2,5,0.00949685674,3.2,5,1,0.13342543216340003,0.00949685674,0.07117726048186701,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,blaOXA~~~blaOXA1,5,0.00743813164,3.6,5,2,0.13342543216340003,0.016934988380000002,0.12692474069906326,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_7,5,0.00705779832,4.6,5,3,0.13342543216340003,0.0239927867,0.179821689995481,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_3966,5,0.00619678204,7.8,5,4,0.13342543216340003,0.030189568740000002,0.22626547465874586,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_4,5,0.00559973378,7.8,5,5,0.13342543216340003,0.03578930252,0.2682344882808435,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_137,5,0.00530317382,10.2,5,6,0.13342543216340003,0.04109247634,0.3079808374888824,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_1205,5,0.00514653602,8,5,7,0.13342543216340003,0.046239012360000005,0.3465532141081859,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,Clusters_5,5,0.004805895348,29.2,5,8,0.13342543216340003,0.051044907708000006,0.3825725491785377,STR,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_1215,5,0.00458304618,10.4,5,9,0.13342543216340003,0.05562795388800001,0.41692166917529633,PAN,Metal stress
22Dipyridyl5ugml,3,XGBoost,shap,group_8723,5,0.00414672296,12.4,5,10,0.13342543216340003,0.05977467684800001,0.44800062386005013,PAN,Metal stress
A22002ugml,3,XGBoost,shap,Clusters_2,5,0.00786102116,2.8,5,1,0.05461322339079999,0.00786102116,0.1439398862020704,STR,Chemical stress
A22002ugml,3,XGBoost,shap,group_8662,5,0.0053328590516,37.2,5,2,0.05461322339079999,0.0131938802116,0.24158764841964278,PAN,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_8,5,0.00474873562,14.2,5,3,0.05461322339079999,0.0179426158316,0.32853976963063797,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_6,5,0.00393717592,12.8,5,4,0.05461322339079999,0.0218797917516,0.4006317589978733,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_3,5,0.00314600378,21,5,5,0.05461322339079999,0.0250257955316,0.45823692464590515,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_4,5,0.0029215048,13.4,5,6,0.05461322339079999,0.0279473003316,0.5117313829219597,STR,Chemical stress
A22002ugml,3,XGBoost,shap,ltrA~~~araC,5,0.0026327484472,102.2,5,7,0.05461322339079999,0.0305800487788,0.5599385438207157,PAN,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_23,5,0.00259809372,18.8,5,8,0.05461322339079999,0.033178142498799995,0.6075111564352216,STR,Chemical stress
A22002ugml,3,XGBoost,shap,Clusters_5,5,0.0024052521,26.8,5,9,0.05461322339079999,0.03558339459879999,0.6515527264188966,STR,Chemical stress
A22002ugml,3,XGBoost,shap,fimB~~~intS,5,0.00224766716,28,5,10,0.05461322339079999,0.037831061758799994,0.6927088241631407,PAN,Chemical stress
A22005ugml,3,XGBoost,shap,Clusters_2,5,0.0068965551800000005,3.6,5,1,0.05396886582560001,0.0068965551800000005,0.12778766191392954,STR,Chemical stress
A22005ugml,3,XGBoost,shap,group_8662,5,0.00683000892,3.4,5,2,0.05396886582560001,0.013726564100000001,0.2543422747544351,PAN,Chemical stress
A22005ugml,3,XGBoost,shap,Clusters_3,5,0.0060568711,7,5,3,0.05396886582560001,0.0197834352,0.3665712609920324,STR,Chemical stress
A22005ugml,3,XGBoost,shap,Clusters_6,5,0.00402081562,9.2,5,4,0.05396886582560001,0.02380425082,0.4410737645835149,STR,Chemical stress
A22005ugml,3,XGBoost,shap,Clusters_4,5,0.00380386482,9.8,5,5,0.05396886582560001,0.02760811564,0.5115563430444401,STR,Chemical stress
A22005ugml,3,XGBoost,shap,X2562584...G.C.....GT,5,0.00326599018,17.4,5,6,0.05396886582560001,0.03087410582,0.5720725338155047,SNP,Chemical stress
A22005ugml,3,XGBoost,shap,group_3419,5,0.003164570808,26.4,5,7,0.05396886582560001,0.034038676628,0.630709504587251,PAN,Chemical stress
A22005ugml,3,XGBoost,shap,group_6053,5,0.00269875218,23,5,8,0.05396886582560001,0.036737428808,0.6807152280486444,PAN,Chemical stress
A22005ugml,3,XGBoost,shap,group_7759,5,0.002304714688,48.2,5,9,0.05396886582560001,0.039042143496000006,0.7234197513463485,PAN,Chemical stress
A22005ugml,3,XGBoost,shap,group_8622,5,0.00214240148,29.4,5,10,0.05396886582560001,0.041184544976000007,0.7631167404756579,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,Clusters_2,5,0.0072310821,3,5,1,0.0451894249632,0.0072310821,0.1600171302442691,STR,Chemical stress
A2201ugml,3,XGBoost,shap,group_8662,5,0.0042513522,14.2,5,2,0.0451894249632,0.0114824343,0.254095605539365,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,group_5154,5,0.00398833646,7,5,3,0.0451894249632,0.01547077076,0.3423537868118176,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,Clusters_4,5,0.00297443404,11.2,5,4,0.0451894249632,0.0184452048,0.4081752492982783,STR,Chemical stress
A2201ugml,3,XGBoost,shap,group_11982,5,0.00272959258,27.4,5,5,0.0451894249632,0.02117479738,0.46857859769721993,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,Clusters_3,5,0.00264115814,17.4,5,6,0.0451894249632,0.023815955519999998,0.5270249740817573,STR,Chemical stress
A2201ugml,3,XGBoost,shap,group_4471,5,0.0024261028,26.4,5,7,0.0451894249632,0.026242058319999997,0.5807123755473811,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,group_7632,5,0.00213127326,22,5,8,0.0451894249632,0.028373331579999998,0.6278754731467775,PAN,Chemical stress
A2201ugml,3,XGBoost,shap,Clusters_6,5,0.00179910658,26.2,5,9,0.0451894249632,0.03017243816,0.6676880306525458,STR,Chemical stress
A2201ugml,3,XGBoost,shap,Clusters_5,5,0.00157938653,34.6,5,10,0.0451894249632,0.03175182469,0.7026383875399409,STR,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_2,5,0.010519131,2,5,1,0.056862487071,0.010519131,0.18499245358131336,STR,Chemical stress
A2202ugml,3,XGBoost,shap,group_8662,5,0.00697367942,3.4,5,2,0.056862487071,0.017492810419999998,0.3076335792023661,PAN,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_6,5,0.00574293786,5.8,5,3,0.056862487071,0.023235748279999996,0.40863053089794027,STR,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_3,5,0.0045710744,11.2,5,4,0.056862487071,0.027806822679999996,0.4890187558148778,STR,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_8,5,0.00382517796,11.8,5,5,0.056862487071,0.03163200064,0.5562894320908519,STR,Chemical stress
A2202ugml,3,XGBoost,shap,group_6053,5,0.0035297653,15.6,5,6,0.056862487071,0.03516176594,0.6183648966338052,PAN,Chemical stress
A2202ugml,3,XGBoost,shap,X2278509...G.A.....GT,5,0.0035206645200000003,19.2,5,7,0.056862487071,0.03868243046,0.6802803122505018,SNP,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_4,5,0.0030813709,11.8,5,8,0.056862487071,0.04176380136,0.7344701843212137,STR,Chemical stress
A2202ugml,3,XGBoost,shap,Clusters_7,5,0.002564792814,24.8,5,9,0.056862487071,0.044328594174,0.7795753660695521,STR,Chemical stress
A2202ugml,3,XGBoost,shap,group_8514,5,0.0018790679200000001,30.2,5,10,0.056862487071,0.046207662094,0.8126211932359535,PAN,Chemical stress
Aceticacid10mM,3,XGBoost,shap,Clusters_2,5,0.0084929169,3.8,5,1,0.061300914553400004,0.0084929169,0.13854470136170174,STR,Chemical stress
Aceticacid10mM,3,XGBoost,shap,Clusters_9,5,0.00723157542,18.6,5,2,0.061300914553400004,0.01572449232,0.25651317659057427,STR,Chemical stress
Aceticacid10mM,3,XGBoost,shap,Clusters_33,5,0.0062368128600000005,8.6,5,3,0.061300914553400004,0.021961305179999998,0.35825411969782645,STR,Chemical stress
Aceticacid10mM,3,XGBoost,shap,Clusters_4,5,0.00566060216,13.8,5,4,0.061300914553400004,0.027621907339999998,0.450595354755078,STR,Chemical stress
Aceticacid10mM,3,XGBoost,shap,group_3007,5,0.00356797342,27.4,5,5,0.061300914553400004,0.031189880759999997,0.5087995992756371,PAN,Chemical stress
Aceticacid10mM,3,XGBoost,shap,group_10324,5,0.003102678156,37.6,5,6,0.061300914553400004,0.034292558916,0.5594134959622391,PAN,Chemical stress
Aceticacid10mM,3,XGBoost,shap,X1702711...C.T.....GT,5,0.00308528576,22.6,5,7,0.061300914553400004,0.037377844676,0.6097436710090138,SNP,Chemical stress
Aceticacid10mM,3,XGBoost,shap,group_5196,5,0.0026733888399999997,27.6,5,8,0.061300914553400004,0.040051233516,0.653354583822903,PAN,Chemical stress
Aceticacid10mM,3,XGBoost,shap,Clusters_3,5,0.00264043468,34.8,5,9,0.061300914553400004,0.042691668195999996,0.6964279164026296,STR,Chemical stress
Aceticacid10mM,3,XGBoost,shap,group_9101,5,0.0024910030200000002,39.4,5,10,0.061300914553400004,0.045182671215999996,0.7370635747471728,PAN,Chemical stress
Aceticacid1mM,3,XGBoost,shap,Clusters_2,5,0.00484649558,7.6,5,1,0.04316362667980002,0.00484649558,0.11228193626899506,STR,Chemical stress
Aceticacid1mM,3,XGBoost,shap,Clusters_6,5,0.004211759,8.8,5,2,0.04316362667980002,0.009058254580000001,0.20985851460528776,STR,Chemical stress
Aceticacid1mM,3,XGBoost,shap,Clusters_3,5,0.0040713843,20.2,5,3,0.04316362667980002,0.01312963888,0.30418294035854243,STR,Chemical stress
Aceticacid1mM,3,XGBoost,shap,X2703429...A.G.....GT,5,0.00366991366,10,5,4,0.04316362667980002,0.016799552540000002,0.3892062329382985,SNP,Chemical stress
Aceticacid1mM,3,XGBoost,shap,Clusters_5,5,0.00295370646,20,5,5,0.04316362667980002,0.019753259000000002,0.4576366843901987,STR,Chemical stress
Aceticacid1mM,3,XGBoost,shap,X2301931...T.C.....GT,5,0.00263601614,24.2,5,6,0.04316362667980002,0.02238927514,0.5187069961958937,SNP,Chemical stress
