row	column	strain	r_c
1	1	JZ21	1 1
1	2	JZ21	1 2
2	1	JZ21	2 1
2	2	JZ21	2 2
1	3	153	1 3
1	4	153	1 4
2	3	153	2 3
2	4	153	2 4
1	5	JZ25	1 5
1	6	JZ25	1 6
2	5	JZ25	2 5
2	6	JZ25	2 6
1	7	151	1 7
1	8	151	1 8
2	7	151	2 7
2	8	151	2 8
1	9	JZ33	1 9
1	10	JZ33	1 10
2	9	JZ33	2 9
2	10	JZ33	2 10
1	11	148	1 11
1	12	148	1 12
2	11	148	2 11
2	12	148	2 12
1	13	JZ37	1 13
1	14	JZ37	1 14
2	13	JZ37	2 13
2	14	JZ37	2 14
1	15	MKPU277	1 15
1	16	MKPU277	1 16
2	15	MKPU277	2 15
2	16	MKPU277	2 16
1	17	JZ42	1 17
1	18	JZ42	1 18
2	17	JZ42	2 17
2	18	JZ42	2 18
1	19	140	1 19
1	20	140	1 20
2	19	140	2 19
2	20	140	2 20
1	21	JZ56	1 21
1	22	JZ56	1 22
2	21	JZ56	2 21
2	22	JZ56	2 22
1	23	DKPU052	1 23
1	24	DKPU052	1 24
2	23	DKPU052	2 23
2	24	DKPU052	2 24
1	25	M1107	1 25
1	26	M1107	1 26
2	25	M1107	2 25
2	26	M1107	2 26
1	27	125	1 27
1	28	125	1 28
2	27	125	2 27
2	28	125	2 28
1	29	H399	1 29
1	30	H399	1 30
2	29	H399	2 29
2	30	H399	2 30
1	31	124	1 31
1	32	124	1 32
2	31	124	2 31
2	32	124	2 32
1	33	H411	1 33
1	34	H411	1 34
2	33	H411	2 33
2	34	H411	2 34
1	35	116	1 35
1	36	116	1 36
2	35	116	2 35
2	36	116	2 36
1	37	R3	1 37
1	38	R3	1 38
2	37	R3	2 37
2	38	R3	2 38
1	39	195A	1 39
1	40	195A	1 40
2	39	195A	2 39
2	40	195A	2 40
1	41	R311	1 41
1	42	R311	1 42
2	41	R311	2 41
2	42	R311	2 42
1	43	194C	1 43
1	44	194C	1 44
2	43	194C	2 43
2	44	194C	2 44
1	45	R313	1 45
1	46	R313	1 46
2	45	R313	2 45
2	46	R313	2 46
1	47	133B	1 47
1	48	133B	1 48
2	47	133B	2 47
2	48	133B	2 48
3	1	JKPB501	3 1
3	2	JKPB501	3 2
4	1	JKPB501	4 1
4	2	JKPB501	4 2
3	3	RKPR062	3 3
3	4	RKPR062	3 4
4	3	RKPR062	4 3
4	4	RKPR062	4 4
3	5	JKPB502	3 5
3	6	JKPB502	3 6
4	5	JKPB502	4 5
4	6	JKPB502	4 6
3	7	RKPR063	3 7
3	8	RKPR063	3 8
4	7	RKPR063	4 7
4	8	RKPR063	4 8
3	9	JKPB503	3 9
3	10	JKPB503	3 10
4	9	JKPB503	4 9
4	10	JKPB503	4 10
3	11	RKPR064	3 11
3	12	RKPR064	3 12
4	11	RKPR064	4 11
4	12	RKPR064	4 12
3	13	RKPR133	3 13
3	14	RKPR133	3 14
4	13	RKPR133	4 13
4	14	RKPR133	4 14
3	15	RKPR067	3 15
3	16	RKPR067	3 16
4	15	RKPR067	4 15
4	16	RKPR067	4 16
3	17	JKPB505	3 17
3	18	JKPB505	3 18
4	17	JKPB505	4 17
4	18	JKPB505	4 18
3	19	RKPR068	3 19
3	20	RKPR068	3 20
4	19	RKPR068	4 19
4	20	RKPR068	4 20
3	21	JKPB509	3 21
3	22	JKPB509	3 22
4	21	JKPB509	4 21
