Gene,Annotation
hemY,protoheme IX biogenesis protein HemY
pepQ,Xaa-Pro dipeptidase
group_12255,fatty acid oxidation complex subunit alpha FadB
rffC,dTDP-4-amino-46-dideoxy-D-galactose acyltransferase;Lipopolysaccharide biosynthesis protein RffC
rffG,dTDP-glucose 46-dehydratase
rho,transcription termination factor Rho
rhlB,ATP-dependent RNA helicase RhlB
yifK,amino acid permease
yigI~~~paaI,thioesterase family protein
corA,magnesium/cobalt transporter CorA;hypothetical protein
group_12249,lipopolysaccharide N-acetylmannosaminouronosyltransferase
group_12247,3'-5' ssDNA/RNA exonuclease TatD;Deoxyribonuclease TatD
group_12246,peptidylprolyl isomerase PpiC
ilvA,threonine ammonia-lyase biosynthetic
recQ,ATP-dependent DNA helicase RecQ
yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
yigL,sugar/pyridoxal phosphate phosphatase YigL;hypothetical protein
group_12245,lysophospholipase L2;Lysophospholipase L2;Serine aminopeptidase S33 domain-containing protein
yifE,UPF0438 protein
wzyE,ECA oligosaccharide polymerase
hemG,menaquinone-dependent protoporphyrinogen IX dehydrogenase
group_12239,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
wecB,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
group_12238,diaminopimelate epimerase
dLH,Dienelactone hydrolase family protein;Dienelactone hydrolase;Putative dienelactone hydrolase
rmuC,DNA recombination protein RmuC
ilvG,acetolactate synthase 2 catalytic subunit
rarD,EamA family transporter RarD;Protein rarD
wzxE,lipid III flippase WzxE
tatB,Sec-independent protein translocase protein TatB
ilvE,branched-chain amino acid transaminase
group_12227,uridine phosphorylase
pldA,phospholipase A
group_12226,DNA helicase II
group_12225,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
tatA,Sec-independent protein translocase subunit TatA
ilvM,acetolactate synthase 2 small subunit
wecA,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase
gppA,guanosine-5'-triphosphate3'-diphosphate diphosphatase;Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase;Guanosine pentaphosphate phosphohydrolase
rffA,dTDP-4-amino-46-dideoxygalactose transaminase
yifB,YifB family Mg chelatase-like AAA ATPase;ATP-dependent protease;magnesium chelatase domain-containing protein;hypothetical protein;Magnesium chelatase
group_12213,thioredoxin TrxA
fadA,acetyl-CoA C-acyltransferase FadA
group_12212,homoserine/homoserine lactone efflux protein;Homoserine/homoserine lactone efflux protein
cyaY,iron donor protein CyaY
cyaA,class I adenylate cyclase
group_12209,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-14-benzoquinol methylase UbiE
trkH,Trk system potassium transporter TrkH
group_12208,IMPACT family protein;Protein co-occurring with transport system protein;DUF1949 domain-containing protein
rhtC,threonine export protein RhtC
group_12207,tyrosine recombinase XerC
fre,NAD(P)H-flavin reductase
ppiC,peptidylprolyl isomerase PpiC
ilvY,HTH-type transcriptional activator IlvY
hemC,hydroxymethylbilane synthase
group_12206,4-hydroxy-3-polyprenylbenzoate decarboxylase
wzzE,ECA polysaccharide chain length modulation protein;hypothetical protein
ilvC,ketol-acid reductoisomerase
hemD,uroporphyrinogen-III synthase
hdfR,HTH-type transcriptional regulator HdfR
ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase;UDP-glucose dehydrogenase
hemX,uroporphyrinogen-III C-methyltransferase
group_12202,carboxylate/amino acid/amine transporter;Transporter 10 TMS drug/metabolite exporter (DME) family
metR,HTH-type transcriptional regulator MetR
ubiJ,Ubiquinone biosynthesis protein UbiJ contains SCP2 domain
yigA,DUF484 domain-containing protein
tatC,Sec-independent protein translocase subunit TatC
ilvD,dihydroxy-acid dehydratase
rluE,23S rRNA pseudouridine(2457) synthase RluE
rplN,50S ribosomal protein L14
lrhA~~~lysR,LysR family transcriptional regulator lrhA;DNA-binding transcriptional regulator LysR family;LysR substrate-binding domain-containing protein
group_12158,glutamine ABC transporter ATP-binding protein GlnQ;ATP-binding cassette domain-containing protein;Glutamine transport ATP-binding protein GlnQ
glnH,glutamine ABC transporter substrate-binding protein GlnH
rplB,50S ribosomal protein L2
group_12145,serine O-acetyltransferase
phoQ,two-component system sensor histidine kinase PhoQ;Sensor protein PhoQ;Virulence sensor histidine kinase PhoQ;histidine kinase
group_12118,signal peptidase I
era,GTPase Era
dapD,2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase
phoR,phosphate regulon sensor histidine kinase PhoR
sbcD,exonuclease subunit SbcD;DNA repair exonuclease SbcCD nuclease subunit
group_12107,Small ribosomal subunit protein uS12
group_12089,cell-envelope stress modulator CpxP
lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
group_12060,tRNA/rRNA methyltransferase
creD,cell envelope integrity protein CreD
group_12054,Orotate phosphoribosyltransferase
group_12049,FKBP-type peptidyl-prolyl cis-trans isomerase;FKBP-type peptidyl-prolyl cis-trans isomerase N-terminal domain-containing protein;FKBP-type peptidyl-prolyl cis-trans isomerase fkpA
tusD,sulfurtransferase complex subunit TusD
sucA,2-oxoglutarate dehydrogenase E1 component
group_12048,succinate dehydrogenase flavoprotein subunit
frr,ribosome recycling factor
tsf,translation elongation factor Ts
group_12042,type I methionyl aminopeptidase
lptA,lipopolysaccharide ABC transporter substrate-binding protein LptA
rpoN,RNA polymerase factor sigma-54
fabD,ACP S-malonyltransferase
asnB,asparagine synthase B;Asparagine synthetase B
uspE,universal stress protein UspE
ogt,methylated-DNA--[protein]-cysteine S-methyltransferase
aroG,3-deoxy-7-phosphoheptulonate synthase AroG
group_11993,galactose-1-epimerase
aceE,pyruvate dehydrogenase (acetyl-transferring) homodimeric type
aroP,aromatic amino acid transporter AroP
mlaD,outer membrane lipid asymmetry maintenance protein MlaD
mlaF,phospholipid ABC transporter ATP-binding protein MlaF
nadR,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
group_11924,PTS N-acetyl glucosamine transporter subunit IIABC
nagA,N-acetylglucosamine-6-phosphate deacetylase
minC,septum site-determining protein MinC
minE,cell division topological specificity factor MinE
metI,D-methionine transport system permease protein MetI;D-methionine ABC transporter permease;methionine ABC transporter permease MetI
trmL,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD;hypothetical protein;Bifunctional uridylyltransferase/uridylyl-removing enzyme
yaeH,DUF3461 domain-containing protein
yidA,sugar-phosphatase
group_11873,PTS mannose transporter subunit IIC;PTS system protein;PTS system mannose-specific EIIC component
ftsX,permease-like cell division protein FtsX
menH~~~menB,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase;14-dihydroxy-2-naphthoyl-CoA synthase
menC,o-succinylbenzoate synthase;O-succinylbenzoate-CoA synthase
hxpB,hexitol phosphatase HxpB
group_11834,DNA repair protein RecN
grpE,nucleotide exchange factor GrpE
cyoD,cytochrome o ubiquinol oxidase subunit IV
yheV,YheV family putative zinc ribbon protein
dusC,tRNA dihydrouridine(16) synthase DusC
rpiA,ribose-5-phosphate isomerase RpiA
bglG,transcriptional antiterminator BglG;BglG family transcription antiterminator
bglF,PTS beta-glucoside transporter subunit IIABC;PTS system transporter
rplQ,50S ribosomal protein L17
iscU,Fe-S cluster assembly scaffold protein IscU NifU family
oppD,ABC-type dipeptide/oligopeptide/nickel transport system ATPase component
cysG,siroheme synthase CysG
cysN,sulfate adenylyltransferase subunit CysN
ysaB,YsaB family lipoprotein;Membrane protein;Outer membrane protein
glyS,Glycine--tRNA ligase beta subunit
ppnP,pyrimidine/purine nucleoside phosphorylase
nadE,ammonia-dependent NAD(+) synthetase
fruA,PTS fructose transporter subunit IIBC;fructose-specific PTS transporter subunit EIIC;PTS system fructose-specific transporter subunit IIB
group_11756,fused PTS fructose transporter subunit IIA/HPr protein
pstA,phosphate ABC transporter permease PstA
pstS,phosphate ABC transporter substrate-binding protein PstS;Phosphate ABC transporter substrate-binding protein
tatE,twin-arginine translocase subunit TatE
yhhY,N-acetyltransferase;GNAT family N-acetyltransferase;hypothetical protein
rpsD,30S ribosomal protein S4
group_11703,NADH-quinone oxidoreductase subunit NuoI
nuoG,NADH-quinone oxidoreductase subunit NuoG
rpoH,RNA polymerase sigma factor RpoH
nhaR~~~lysR,transcriptional activator NhaR;LysR family transcriptional regulator
yhhW~~~yhaK,Quercetin 23-dioxygenase;Pirin-related protein;Qercetin 23-dioxygenase;Redox-sensitive bicupin YhaK pirin superfamily
rpsI,30S ribosomal protein S9
group_11635,maltose/maltodextrin ABC transporter substrate-binding protein MalE
group_11616,Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase;hypothetical protein
ribF,bifunctional riboflavin kinase/FAD synthetase
kbl,glycine C-acetyltransferase
csrD,RNase E specificity factor CsrD;Lipoprotein;hypothetical protein;EAL domain-containing protein
mreC,Cell shape-determining protein MreC;rod shape-determining protein MreC
thiD~~~thiM,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;Phosphomethylpyrimidine kinase;hydroxyethylthiazole kinase
pgk,phosphoglycerate kinase
murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase;hypothetical protein
murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase
mepA,penicillin-insensitive murein endopeptidase;Penicillin-insensitive murein endopeptidase
