#FILE	NUM_FOUND	Col(BS512)_1	Col(IMGS31)_1	Col(IRGK)_1	Col(MG828)_1	Col(MGD2)_1	Col(Ye4449)_1	Col156_1	Col440II_1	Col440I_1	Col8282_1	ColE10_1	ColKP3_1	ColRNAI_1	ColpVC_1	FII(pBK30683)_1	IncA/C2_1	IncB/O/K/Z_1	IncB/O/K/Z_4	IncFIA(HI1)_1_HI1	IncFIA_1	IncFIB(AP001918)_1	IncFIB(K)_1_Kpn3	IncFIB(Mar)_1_pNDM-Mar	IncFIB(pB171)_1_pB171	IncFIB(pKPHS1)_1_pKPHS1	IncFIB(pQil)_1_pQil	IncFIC(FII)_1	IncFII(29)_1_pUTI89	IncFII(S)_1	IncFII(SARC14)_1_SARC14	IncFII(Yp)_1_Yersenia	IncFII(p14)_1_p14	IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5	IncFII(pCRY)_1_pCRY	IncFII(pCoo)_1_pCoo	IncFII(pHN7A8)_1_pHN7A8	IncFII(pKPX1)	IncFII(pMET)_1_pMET1	IncFII(pRSB107)_1_pRSB107	IncFII_1	IncFII_1_pKP91	IncHI1B_1_pNDM-MAR	IncHI2A_1	IncHI2_1	IncI1_1_Alpha	IncL/M(pMU407)_1_pMU407	IncL/M(pOXA-48)_1_pOXA-48	IncL/M_1	IncN_1	IncQ1_1	IncQ2_1	IncR_1	IncU_1	IncX1_1	IncX1_4	IncX3_1	IncX4_1	IncX4_2	IncY_1	RepA_1_pKPC-CAV1321	Rep_1_pKPC-2	p0111_1	repA_1_pKPC-2
abricate_B14.fasta.tsv	6	.	.	.	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.
abricate_B26.fasta.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_B42.fasta.tsv	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;97.83	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_B54.fasta.tsv	2	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_B61.fasta.tsv	5	.	.	.	.	.	.	.	100	100.00;96.49	.	.	.	.	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	97.83	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_DKPB001.fasta.tsv	6	.	.	.	.	.	.	.	.	.	.	.	.	98.46;98.46;99.23	.	98.24	.	.	.	100	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;96.09	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_DKPB002.fasta.tsv	7	.	.	.	.	.	.	.	99.29	96.49	.	.	.	.	100	.	.	.	.	.	.	.	99.82	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	89.46	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_DKPB003.fasta.tsv	4	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	98.46	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_DKPB006.fasta.tsv	5	.	.	.	.	.	.	.	.	100	.	.	100	.	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
abricate_DKPB009.fasta.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
